Title Incident Report,Segment,Location,Date,Department / Area,Process,Operation Mode,Machine Category,Machine Type,Riskfactor,Repeat Incident,Maximum Possible Damage/Harm Occurred,Employee_Type,Gender,Type of Injury,Injured Body Part,Lost Days,Accident type
back injury,ES,SousseMETS,2019-10-17,Logistics,I - 8002 - preparation_raw_materials_/_components,Normal mode,Other,,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Sprain / Strain,Body,15,Work related accident
neck injury,ES,SousseMETS,2019-12-03,BX8,I - 7004 - reworking,Normal mode,Other,,9.2 Manual work requiring a low level of physical strength,NO,YES,DRX,Female,Bruise,Arm,12,Work related accident
foot injury,ES,SousseMETS,2019-11-21,BX8,Other,Normal mode,Other,,-,NO,YES,DRX,Female,Bruise,Foot,4,Work related accident
back injury,SY,SousseMETS,2019-09-27,KS,I - 8002 - preparation_raw_materials_/_components,Normal mode,Other,,"9.1 Lifting, holding, carrying or pulling, pushing",YES,NO,DRX,Male,Abrasion,Body,5,Work related accident
neck injury,ES,SousseMETS,2019-12-03,BX8,I - 7004 - reworking,Normal mode,Other,,9.2 Manual work requiring a low level of physical strength,NO,YES,DRX,Female,Bruise,Arm,12,Work related accident
finger injury,ES,SousseMETS,2019-07-02,Zeta,E - 4001 crimping - contact_part,Normal mode,Process Machine,Hanke 971,1.1 Controlled moved unprotected parts,YES,NO,DRX,Male,Stab injury,Hand,12,Work related accident
hand injury,ES,SousseMETS,2019-02-02,BX8,I - 4008 - assembly,Normal mode,Other,,1.3 Transport and mobile work equipment,YES,YES,DRX,Female,Bruise,Hand,15,Work related accident
back injury,ES,SousseMETS,2019-07-31,Logistics,I - 8002 - preparation_raw_materials_/_components,Normal mode,Other,,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Sprain / Strain,Body,8,Work related accident
finger injury,IS,SousseMETS,2019-08-01,KS,-,Normal mode,Other,,1.2 Parts with dangerous surfaces,NO,YES,DRX,Male,Stab injury,Hand,8,Work related accident
hand injury,SY,SousseMETS,2019-08-20,KS,I - 8004 - internal_transport,Normal mode,Tools / Utilities,trolley,1.3 Transport and mobile work equipment,YES,NO,DRX,Male,Stab injury,Hand,10,Work related accident
back injury,ES,SousseMETS,2019-08-21,KS,I - 8002 - preparation_raw_materials_/_components,Normal mode,Other,,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Sprain / Strain,Body,10,Work related accident
eye injury,ES,SousseMETS,2019-12-16,BX8,E - 3001 skinning_/_strip_/_removing - removal - wire_insulation,Normal mode,Other,,1.4 Uncontrolled moving parts,NO,YES,DRX,Female,Bruise,Eye,6,Work related accident
leg injury,ES,SousseMETS,2019-09-17,MM,-,Normal mode,Other,,-,NO,YES,DRX,Female,Abrasion,Foot,10,Work related accident
finger injury,SY,SousseMETS,2019-09-13,MM,-,Normal mode,Other,,-,NO,NO,DRX,Male,Abrasion,Foot,8,Work related accident
finger injury,SY,SousseMETS,2019-10-09,BX8,"E - 7015 extracting,_laying-up_and_handle - wire_/_module_/wire_harness",Testing mode,Tools / Utilities,,1.2 Parts with dangerous surfaces,NO,NO,DRX,Male,Cut,Hand,10,Work related accident
finger injury,SY,SousseMETS,2019-09-09,BX8,"E - 7015 extracting,_laying-up_and_handle - wire_/_module_/wire_harness",Testing mode,Tools / Utilities,,1.2 Parts with dangerous surfaces,NO,NO,DRX,Male,Abrasion,Hand,10,Work related accident
hip injury,SY,SousseMETS,2019-10-09,KS,"E - 7015 extracting,_laying-up_and_handle - wire_/_module_/wire_harness",Maintenance,Process Machine,Komax alpha 355,-,NO,NO,DRX,Male,Sprain / Strain,Leg,12,Work related accident
hand injury,SY,SousseMETS,2019-10-25,Production,I - 7009 - commissioning,Normal mode,Other,,9.2 Manual work requiring a low level of physical strength,NO,NO,DRX,Male,Abrasion,Hand,8,Work related accident
back injury,ES,SousseMETS,2019-10-15,Logistics,I - 8002 - preparation_raw_materials_/_components,Normal mode,Other,,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Female,Sprain / Strain,Body,3,Work related accident
foot injury,SY,SousseMETS,2019-11-10,BX8,-,Normal mode,Other,,-,YES,NO,DRX,Female,Stab injury,Foot,11,Work related accident
hand injury,ES,SousseMETS,2019-01-10,KS,I - 3022 - cutting - machine,Normal mode,Process Machine,schleuniger,1.1 Controlled moved unprotected parts,NO,NO,DRX,Male,Laceration,Hand,4,Work related accident
abdomen injury,SY,SousseMETS,2019-10-25,BX8,I - 7009 - commissioning,Normal mode,Other,Plan de travail,9.2 Manual work requiring a low level of physical strength,NO,NO,DRX,Male,Abrasion,Hand,3,Work related accident
eye injury,ES,SousseMETS,2019-11-25,KS,E - 3002 cutting - wire,Normal mode,Other,,9.2 Manual work requiring a low level of physical strength,NO,YES,DRX,Female,Bruise,Eye,7,Work related accident
hand injury,ES,SousseMETS,2019-11-06,BX8,I - 4008 - assembly,Normal mode,Other,,9.2 Manual work requiring a low level of physical strength,NO,YES,DRX,Female,Bruise,Hand,26,Work related accident
eye injury,ES,SousseMETS,2019-11-29,BX8,E - 3001 skinning_/_strip_/_removing - removal - wire_insulation,Normal mode,Other,,1.4 Uncontrolled moving parts,NO,YES,DRX,Female,Bruise,Eye,8,Work related accident
foot injury,ES,SousseMETS,2019-11-11,Logistics,I - 8002 - preparation_raw_materials_/_components,Normal mode,Other,,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Bruise,Leg,18,Work related accident
eye injury,ES,SousseMETS,2019-11-19,BX8,I - 8002 - preparation_raw_materials_/_components,Normal mode,Other,,"8.5 Insufficient room to move at the workplace, unfavorable workplace requirement, insufficient break rooms, sanitary rooms",NO,YES,DRX,Male,Bruise,Eye,4,Work related accident
Staple injury,IS,SousseUATS,2019-04-29,,I - 4022 - staple,Normal mode,Tools / Utilities,Staple gun,4.1 Infections,NO,NO,DRX,Male,Stab injury,Hand,6,Work related accident
Accident by door,IS,SousseUATS,2019-05-13,IE,Other,Normal mode,Other,Porte,"8.5 Insufficient room to move at the workplace, unfavorable workplace requirement, insufficient break rooms, sanitary rooms",NO,NO,DRX,Male,Cut,Eye,8,Work related accident
knee injury,IS,SousseUATS,2019-01-07,Production,-,Normal mode,Other,Steps,"1.5 Falling, slipping, stumbling, tripping",NO,YES,DRX,Female,Sprain / Strain,Leg,11,Work related accident
lumbago,IS,SousseUATS,2019-08-20,Production,I - 1007 - extrusion - back-pressing,Normal mode,Other,,"1.5 Falling, slipping, stumbling, tripping",NO,NO,DRX,Male,Other,Body,9,Work related accident
accident with the leather mold,IS,SousseUATS,2019-08-01,Production,I - 3002 - cutting - leather,Normal mode,Metal Working Machine,cutting mold,1.1 Controlled moved unprotected parts,NO,YES,DRX,Male,Abrasion,Hand,3,Work related accident
wrong move,IS,SousseUATS,2019-10-21,Production,I - 1021 - injection_compression_molding,Normal mode,Conveyor System / Robot,Mold of foam injection,"9.1 Lifting, holding, carrying or pulling, pushing",NO,NO,DRX,Female,Sprain / Strain,Hand,4,Work related accident
overturning of the product transport trolley,IS,SousseUATS,2019-12-18,Production,I - 4022 - staple,Normal mode,Tools / Utilities,product transport trolley,"8.5 Insufficient room to move at the workplace, unfavorable workplace requirement, insufficient break rooms, sanitary rooms",NO,NO,DRX,Male,Sprain / Strain,Arm,5,Work related accident
deep wound on the forehead,Electric,ElJem,2020-04-02,MR,Other,Maintenance,Conveyor System / Robot,Baubrettbeförderer,"8.5 Insufficient room to move at the workplace, unfavorable workplace requirements, insufficient break rooms, sanitary rooms",YES,YES,DRX,Male,Cut,Head,6,Work related accident
eye injury,Electric,ElJem,2020-03-02,MM,E-Pre Assembly - Detail Planning Group DPG,Normal mode,Other,Baubrett,1.2 Parts with dangerous surfaces,YES,YES,DRX,Female,Bruise,Eye,5,Work related accident
Dorsalgie aigue,Electric,ElJem,2020-07-02,Methall,Other,Normal mode,-,,"9.1 Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Male,Other,-,2,Work related accident
traumatisme oculaire,Electric,ElJem,2020-02-19,MR,E-Assembly - Item number,Normal mode,-,,10.2 Work organization,NO,YES,DRX,Female,Other,Eye,8,Work related accident
hand injury,Electric,ElJem,2020-02-27,MM,Other,Normal mode,,,"8.5 Insufficient room to move at the workplace, unfavorable workplace requirements, insufficient break rooms, sanitary rooms",YES,YES,DRX,Male,Fracture,Hand,9,Work related accident
Dorsalgie aigue,Electric,ElJem,2020-02-24,Spare parts storage,E-order picking - Customer order,Normal mode,-,,9.5 Working with increased exertion and/or applied strength,NO,YES,DRX,Male,Other,Body,17,Work related accident
ankle injury,Electric,ElJem,2020-08-14,Production,Other,Normal mode,-,,1.6 Falls,NO,,DRX,Female,Sprain / Strain,Foot,12,Non-work related accident
Bilateral temporal wound with stitches,Electric,ElJem,2020-07-24,Logistics,Logistics,Normal mode,-,,"8.5 Insufficient room to move at the workplace, unfavorable workplace requirements, insufficient break rooms, sanitary rooms",NO,,DRX,Male,Stab injury,Head,7,Work related accident
foot injury,Electric,ElJem,2020-08-17,outside building,Office,Normal mode,-,,1.6 Falls,YES,YES,DRX,Female,Sprain / Strain,Foot,21,Non-work related accident
thumb injury,Electric,ElJem,2020-03-16,IR,Other,Normal mode,-,,1.2 Parts with dangerous surfaces,YES,YES,DRX,Female,Other,Hand,17,Work related accident
frontal trauma,Electric,ElJem,2020-08-18,IR,I-Production step 3 - lamination and finishing processes - Production cell,Normal mode,-,,1.2 Parts with dangerous surfaces,YES,YES,DRX,Female,Cut,Head,13,Work related accident
lumbago,Electric,ElJem,2020-07-12,Logistics,Logistics,Normal mode,-,,1.3 Transport and mobile work equipment,NO,YES,DRX,Male,Other,Body,3,Work related accident
hand injury,Electric,ElJem,2020-11-20,MM,Other,Normal mode,-,,"8.5 Insufficient room to move at the workplace, unfavorable workplace requirements, insufficient break rooms, sanitary rooms",NO,YES,DRX,Male,Sprain / Strain,Hand,7,Work related accident
lumbago,Electric,ElJem,2020-03-12,IR,Logistics,Normal mode,-,,1.3 Transport and mobile work equipment,NO,YES,DRX,Male,Other,Body,14,Work related accident
knee injury,Electric,ElJem,2020-11-20,IR,Other,Normal mode,-,,1.2 Parts with dangerous surfaces,YES,YES,DRX,Female,Sprain / Strain,Foot,15,Work related accident
wrist injury,Electric,ElJem,2020-11-24,IR,Other,Normal mode,-,,1.2 Parts with dangerous surfaces,YES,YES,DRX,Female,Sprain / Strain,Hand,7,Work related accident
hand injury,Electric,ElJem,2020-11-26,IR,Other,Normal mode,-,,1.2 Parts with dangerous surfaces,YES,YES,DRX,Female,Sprain / Strain,Hand,15,Work related accident
shoulder injury,Electric,ElJem,2020-12-21,Logistics,Logistics,Normal mode,-,,"9.1 Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Male,Other,Body,24,Work related accident
ankle injury,Electric,ElJem,2020-12-18,Logistics,Logistics,Normal mode,-,,"1.5 Falling, slipping, stumbling, tripping",YES,YES,DRX,Male,Other,Foot,21,Work related accident
eye injury,Electric,Siliana,2020-02-18,ZSB,E-Cable Cutting - cable or cable-set,Normal mode,-,,"9.1 Lifting, holding, carrying or pulling, pushing",YES,NO,DRX,Female,Other,Eye,10,Non-work related accident
Leg injury,Electric,Siliana,2020-02-17,Production,I-Production step 5 - sequenced assembly - Production island,Normal mode,Work place / paths,,1.6 Falls,YES,NO,DRX,Female,Stab injury,Foot,7,Non-work related accident
hand injury,Electric,Siliana,2020-02-17,IR,Other,Normal mode,-,,"1.5 Falling, slipping, stumbling, tripping",NO,NO,DRX,Female,Other,Hand,1,Non-work related accident
Leg injury,Electric,Siliana,2020-01-22,Production,Other,Normal mode,-,,"1.5 Falling, slipping, stumbling, tripping",NO,NO,DRX,Female,Fracture,Foot,5,Non-work related accident
Leg injury,Electric,Siliana,2020-04-02,Logistics,Logistics,Normal mode,-,,1.3 Transport and mobile work equipment,YES,YES,DRX,Male,Laceration,Foot,1,Work related accident
Loss of Balance and Injury,Electric,Siliana,2020-02-28,Production,Logistics,Normal mode,-,,"9.1 Lifting, holding, carrying or pulling, pushing",YES,NO,DRX,Male,Other,Body,5,Work related accident
Leg injury,Electric,Siliana,2020-05-03,IR,Other,Normal mode,-,,"9.1 Lifting, holding, carrying or pulling, pushing",YES,NO,DRX,Female,Fracture,Foot,10,Non-work related accident
Head injury,Electric,Siliana,2020-12-03,Logistics,Other,Normal mode,-,,"8.5 Insufficient room to move at the workplace, unfavorable workplace requirements, insufficient break rooms, sanitary rooms",NO,NO,DRX,Female,Fracture,Foot,10,Non-work related accident
Head injury,Electric,Siliana,2020-03-26,SI,Other,Normal mode,-,,-,YES,NO,DRX,Female,Other,Head,1,Non-work related accident
hand injury,Electric,Siliana,2020-05-20,ZSB,Other,Normal mode,-,,"8.5 Insufficient room to move at the workplace, unfavorable workplace requirements, insufficient break rooms, sanitary rooms",NO,NO,DRX,Female,Other,Head,6,Non-work related accident
back injury,Electric,Siliana,2020-05-18,KS,Other,Normal mode,-,,"9.1 Lifting, holding, carrying or pulling, pushing",YES,NO,DRX,Male,Other,Body,7,Non-work related accident
hand injury,Electric,Siliana,2020-05-06,Production,Other,Normal mode,-,,1.4 Parts with uncontrolled movements,YES,NO,DRX,Male,Bruise,Hand,3,Work related accident
Falling leading to Injury,Electric,Siliana,2020-05-26,Logistics,Other,Normal mode,-,,"1.5 Falling, slipping, stumbling, tripping",YES,NO,DRX,Female,Other,Leg,3,Work related accident
hand injury,Electric,Siliana,2020-02-15,Quality,Other,Normal mode,-,,"1.5 Falling, slipping, stumbling, tripping",NO,NO,DRX,Female,Fracture,Arm,30,Non-work related accident
Mouth injury,Electric,Siliana,2020-09-06,MR,Other,Normal mode,-,,"1.5 Falling, slipping, stumbling, tripping",YES,NO,DRX,Female,Other,Internal organs,6,Non-work related accident
Head injury,Electric,Siliana,2020-04-06,Production,Other,Normal mode,-,,"8.5 Insufficient room to move at the workplace, unfavorable workplace requirements, insufficient break rooms, sanitary rooms",YES,NO,DRX,Female,Other,Head,3,Work related accident
Head injury,Electric,Siliana,2020-03-06,MM,Other,Normal mode,-,,1.3 Transport and mobile work equipment,YES,YES,DRX,Female,Other,Head,3,Work related accident
Head injury,Electric,Siliana,2020-10-06,MR,Other,Normal mode,-,,"8.5 Insufficient room to move at the workplace, unfavorable workplace requirements, insufficient break rooms, sanitary rooms",YES,NO,DRX,Female,Other,Head,3,Work related accident
shoulder injury,Electric,Siliana,2020-06-19,Production,I-Production step 5 - sequenced assembly - Production island,Normal mode,-,,"9.1 Lifting, holding, carrying or pulling, pushing",YES,NO,DRX,Female,Sprain / Strain,Body,8,Work related accident
Leg injury,Electric,Siliana,2020-06-16,Logistics,Other,Normal mode,-,,1.4 Parts with uncontrolled movements,NO,NO,DRX,Male,Bruise,Hand,3,Work related accident
Loss of balance leading to injury,Electric,Siliana,2020-06-23,Logistics,Other,Normal mode,-,,"1.5 Falling, slipping, stumbling, tripping",NO,YES,DRX,Male,Abrasion,Body,5,Work related accident
Falling leading to Injury,Electric,Siliana,2020-06-23,ENETT,Other,Normal mode,-,,"1.5 Falling, slipping, stumbling, tripping",YES,NO,DRX,Female,Other,Eye,2,Work related accident
Falling leading to Injury,Electric,Siliana,2020-06-30,Production,Other,Normal mode,-,,"1.5 Falling, slipping, stumbling, tripping",YES,NO,DRX,Female,Other,Leg,2,Non-work related accident
Falling leading to Injury,Electric,Siliana,2020-06-29,Logistics,Other,Normal mode,-,,"8.5 Insufficient room to move at the workplace, unfavorable workplace requirements, insufficient break rooms, sanitary rooms",NO,YES,DRX,Male,Bruise,Leg,3,Work related accident
Loss of balance leading to injury,Electric,Siliana,2020-06-24,Production,Other,Normal mode,-,,"8.5 Insufficient room to move at the workplace, unfavorable workplace requirements, insufficient break rooms, sanitary rooms",YES,NO,DRX,Female,Other,Head,3,Work related accident
Falling leading to Injury,Electric,Siliana,2020-06-16,Production,Other,Normal mode,-,,"1.5 Falling, slipping, stumbling, tripping",YES,NO,DRX,Female,Other,Leg,3,Work related accident
hand injury,Electric,Siliana,2020-07-07,KS,E-Cable Cutting - cable or cable-set,Normal mode,Tools / Utilities,KOMAX,"9.1 Lifting, holding, carrying or pulling, pushing",NO,NO,DRX,Female,Abrasion,Hand,10,Work related accident
eye injury,Electric,Siliana,2020-07-22,VK,E-Cable Cutting - cable or cable-set,Normal mode,-,,-,NO,YES,DRX,Male,Sprain / Strain,Eye,10,Work related accident
back injury,Electric,Siliana,2020-07-16,KS,-,Normal mode,Work place / paths,,"8.5 Insufficient room to move at the workplace, unfavorable workplace requirements, insufficient break rooms, sanitary rooms",NO,YES,DRX,Female,Sprain / Strain,Foot,3,Work related accident
back injury,Electric,Siliana,2020-07-22,KS,Logistics,Normal mode,-,,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Sprain / Strain,Body,7,Work related accident
ankle injury,Electric,Siliana,2020-07-16,Production,I-Production step 1 -  carrier + pattern Production - technology shop,Normal mode,-,,"8.5 Insufficient room to move at the workplace, unfavorable workplace requirements, insufficient break rooms, sanitary rooms",NO,YES,DRX,Female,Sprain / Strain,Foot,3,Work related accident
Leg injury,Electric,Siliana,2020-05-08,IR,Other,Normal mode,-,,"1.5 Falling, slipping, stumbling, tripping",NO,NO,DRX,Female,Burn/Scald,Leg,7,Non-work related accident
hand injury,Electric,Siliana,2020-08-05,ZSB,I-Production step 2 - PrProductionration processes - technologie shop,Normal mode,-,,9.2 Manual work requiring a low level of physical strength,NO,NO,DRX,Female,Burn/Scald,Hand,5,Work related accident
fracture suite au chute d'objet,Interior,SousseUATS,2020-05-13,Logistics,Logistics,Normal mode,Tools / Utilities,couvercle de rProductionrk en bois,1.6 Falls,NO,NO,DRX,Male,Fracture,Hand,48,Work related accident
Accident du trajet,Interior,SousseUATS,2020-09-14,outside building,-,,-,-,"1.5 Falling, slipping, stumbling, tripping",NO,,DRX,Male,Sprain / Strain,Leg,8,Non-work related accident
Projection of the chemical product,Interior,SousseUATS,2020-10-28,Foaming area,Other,Maintenance,Conveyor System / Robot,Foam injection robot,3.3 Skin contact with hazardous substances,NO,NO,DRX,Male,Chemical burn,Eye,5,Work related accident
ankle injury,Electric,SousseMETS,2020-09-01,Logistics,E-order picking - Customer order,Normal mode,,,"1.5 Falling, slipping, stumbling, tripping",NO,,DRX,Male,Sprain / Strain,Foot,1,Work related accident
neck injury,Electric,SousseMETS,2020-01-28,Production,I-Production step 4 - bulk assembly - Production island,Normal mode,-,,"1.5 Falling, slipping, stumbling, tripping",NO,,DRX,Female,Bruise,Body,3,Work related accident
hand injury,Electric,SousseMETS,2020-02-20,VK,I-Production step 1 -  carrier + pattern Production - technology shop,Normal mode,Other,machine coupe schlauch N10741/002,1.1 Unprotected parts with controlled movements,NO,NO,DRX,Female,Cut,Hand,30,Work related accident
lumbago,Electric,SousseMETS,2020-02-28,Logistics,E-order picking - Customer order,Normal mode,,,"9.1 Lifting, holding, carrying or pulling, pushing",NO,,DRX,Male,Other,Body,6,Work related accident
hand injury,Electric,SousseMETS,2020-01-28,KS,E-Cable Cutting - cable or cable-set,Normal mode,Other,Cutting machine,1.2 Parts with dangerous surfaces,NO,NO,DRX,Male,Sprain / Strain,Hand,30,Work related accident
wrist injury,Electric,SousseMETS,2020-05-13,BX8,I-Production step 4 - bulk assembly - Production island,Normal mode,-,,-,NO,,DRX,Female,Stab injury,Hand,10,Work related accident
foot injury,Electric,SousseMETS,2020-04-05,outside building,Other,Normal mode,-,,"1.5 Falling, slipping, stumbling, tripping",NO,,DRX,Male,Sprain / Strain,Foot,15,Non-work related accident
foot injury,Electric,SousseMETS,2020-07-05,outside building,Other,Normal mode,-,,"1.5 Falling, slipping, stumbling, tripping",NO,,DRX,Male,Sprain / Strain,Foot,10,Non-work related accident
hand injury,Electric,SousseMETS,2020-12-08,KS,E-Cable Cutting - cable or cable-set,Normal mode,Processing Machines,Schleuniger,1.1 Unprotected parts with controlled movements,NO,,DRX,Female,Stab injury,Hand,8,Work related accident
leg injury,Electric,SousseMETS,2020-12-08,BX8,Other,Normal mode,-,,-,NO,,DRX,Female,Sprain / Strain,Foot,10,Non-work related accident
hand injury,Electric,SousseMETS,2020-08-14,BX8,E-Cable Cutting - cable or cable-set,Normal mode,Lifting Gear / conveyors,pistolet,1.6 Falls,NO,,DRX,Male,Fracture,Hand,15,Work related accident
back injury,Electric,SousseMETS,2020-10-07,BX8,E-order picking - Customer order,Malfunction,,,"1.5 Falling, slipping, stumbling, tripping",NO,,DRX,Female,Sprain / Strain,Body,5,Work related accident
eye injury,Electric,SousseMETS,2020-09-30,BX8,E-Staging Assembly - Item number,Normal mode,-,,"9.1 Lifting, holding, carrying or pulling, pushing",NO,,DRX,Female,Other,Eye,6,Work related accident
foot injury,Electric,SousseMETS,2020-10-05,Logistics,Logistics,Normal mode,-,,"9.1 Lifting, holding, carrying or pulling, pushing",NO,,DRX,Male,Other,Body,6,Work related accident
foot injury,Electric,SousseMETS,2020-09-09,BX8,E-order picking - Customer order,Normal mode,,,"1.5 Falling, slipping, stumbling, tripping",NO,,DRX,Female,Bruise,Foot,6,Work related accident
hand injury,Electric,SousseMETS,2020-08-14,BX8,E-Cable Cutting - cable or cable-set,Normal mode,Lifting Gear / conveyors,pistolet,1.4 Uncontrolled moving parts,NO,,DRX,Male,Fracture,Hand,15,Work related accident
back injury,Electric,SousseMETS,2020-08-26,FBB,Other,Normal mode,-,,9.2 Manual work requiring a low level of physical strength,NO,,DRX,Male,Other,Body,10,Work related accident
leg injury,Electric,SousseMETS,2020-09-28,Logistics,Logistics,Normal mode,-,,"1.5 Falling, slipping, stumbling, tripping",NO,,DRX,Female,Other,Leg,6,Non-work related accident
chute del´escabeau,Electric,SousseMETS,2020-10-28,Zeta,Other,Maintenance,Work place / paths,,9.3 Forced posture,NO,,DRX,Male,Abrasion,Body,15,Work related accident
hand injury,Electric,SousseMETS,2020-11-03,Production,I-Production step 1 -  carrier + pattern Production - technology shop,Normal mode,-,,-,NO,NO,DRX,Male,Abrasion,Hand,8,Work related accident
hand injury,Electric,SousseMETS,2020-03-12,FBB,E-Commissioning - Customer order,Normal mode,-,,1.2 Parts with dangerous surfaces,NO,NO,DRX,Female,Laceration,Hand,4,Non-work related accident
back injury,Electric,SousseMETS,2020-02-24,Logistics,E-Commissioning - Customer order,Normal mode,-,,"1.5 Falling, slipping, stumbling, tripping",NO,,DRX,Male,Bruise,Body,4,Work related accident
hand injury,Electric,SousseMETS,2020-05-27,Zeta,,,,,"1.5 Falling, slipping, stumbling, tripping",NO,NO,DRX,Female,Sprain / Strain,Hand,18,Non-work related accident
body injury,Electric,SousseMETS,2020-06-29,BX8,E-Staging Assembly - FP-Number,Normal mode,-,,"9.1 Lifting, holding, carrying or pulling, pushing",NO,,DRX,Female,Other,Body,8,Work related accident
hand injury,Electric,SousseMETS,2020-02-06,BX8,E-Final Assembly - Customer order,Normal mode,-,,-,NO,,DRX,Male,Fracture,Hand,30,Work related accident
back injury,Electric,SousseMETS,2020-03-07,Zeta,Other,Normal mode,,,"1.5 Falling, slipping, stumbling, tripping",NO,,DRX,Female,Other,Body,8,Non-work related accident
foot injury,Electric,SousseMETS,2020-11-17,BX8,E-Commissioning - Customer order,Normal mode,,,"1.5 Falling, slipping, stumbling, tripping",NO,,DRX,Female,Bruise,Foot,3,Work related accident
hand injury,Electric,SousseMETS,2020-06-19,WC,Other,Normal mode,Tools / Utilities,,"1.5 Falling, slipping, stumbling, tripping",NO,,DRX,Male,Fracture,Hand,30,Non-work related accident
hand injury,Electric,SousseMETS,2020-02-20,VK,I-Production step 1 -  carrier + pattern Production - technologie shop,Normal mode,Other,machine coupe schlauch N10741/002,1.1 Unprotected parts with controlled movements,NO,NO,DRX,Female,Cut,Hand,30,Work related accident
back injury,Electric,SousseMETS,2020-06-22,BX8,,Normal mode,-,,-,NO,,DRX,Male,Other,Body,7,Non-work related accident
back injury,Electric,SousseMETS,2020-06-22,FBB,Other,Normal mode,-,,9.2 Manual work requiring a low level of physical strength,NO,,DRX,Male,Other,Body,15,Work related accident
knee injury,Electric,SousseMETS,2020-10-22,Logistics,Logistics,Normal mode,-,,1.6 Falls,NO,,DRX,Male,Bruise,Foot,15,Work related accident
Riaan Strydom,Interior,Rosslyn,2020-09-01,Maintenance,-,Maintenance,Other,,10.4 Work environment,NO,YES,DRX,Male,Fracture,Hand,16,Work related accident
hand injury,Electric,ElJem,2021-02-19,IR,E-Assembly - Item number,Normal operation,-,,1.1 Unprotected parts with controlled movements,YES,YES,DRX,Female,Sprain / Strain,Hand,11,Work related accident
eye injury,Electric,ElJem,2021-03-04,MM,E-Staging Pre-assembly - Detail Planning Group DPG,Normal operation,-,,1.2 Parts with dangerous surfaces,NO,YES,DRX,Female,Other,Eye,3,Work related accident
hand injury,Electric,ElJem,2021-03-10,IR,E-Assembly - Item number,Normal operation,-,,1.2 Parts with dangerous surfaces,NO,YES,DRX,Male,Sprain / Strain,Hand,5,Work related accident
eye injury,Electric,ElJem,2021-03-11,IR,E-Assembly - Item number,Normal operation,,,1.2 Parts with dangerous surfaces,YES,YES,DRX,Female,Sprain / Strain,Eye,15,Work related accident
frontal trauma,Electric,ElJem,2021-03-16,MM,E-Assembly - Item number,Normal operation,-,,1.2 Parts with dangerous surfaces,YES,NO,DRX,Female,Cut,Head,8,Work related accident
hand injury,Electric,ElJem,2021-03-17,MR,E-Assembly - Item number,Normal operation,-,,1.2 Parts with dangerous surfaces,YES,YES,DRX,Female,Sprain / Strain,Hand,15,Work related accident
hand injury,Electric,ElJem,2021-03-18,MM,E-Assembly - Item number,Normal operation,-,,1.2 Parts with dangerous surfaces,YES,YES,DRX,Female,Sprain / Strain,Hand,21,Work related accident
hand injury,Electric,ElJem,2021-03-26,IR,E-Final Assembly - Customer order,Normal operation,,slippery ground,"1.5 Falling, slipping, stumbling, tripping",YES,YES,DRX,Female,Sprain / Strain,Hand,13,Non-work related accident
hand injury,Electric,ElJem,2021-03-29,IR,E-Final Assembly - Customer order,Normal operation,-,slippery ground,1.2 Parts with dangerous surfaces,NO,YES,DRX,Female,Bruise,Hand,15,Work related accident
hand injury,Electric,ElJem,2021-03-30,IR,E-Final Assembly - Customer order,Normal operation,,slippery ground,1.2 Parts with dangerous surfaces,NO,YES,DRX,Female,Bruise,Hand,22,Work related accident
toe injury,Electric,ElJem,2021-04-06,changing room,Logistics,Normal operation,,metal support,1.2 Parts with dangerous surfaces,NO,YES,DRX,Male,Bruise,Foot,22,Non-work related accident
foot injury,Electric,ElJem,2021-04-22,outside building,E-Assembly - Item number,Normal operation,,marble,1.2 Parts with dangerous surfaces,NO,YES,DRX,Male,Bruise,Foot,7,Non-work related accident
hand injury,Electric,ElJem,2021-05-17,Logistics,E-Assembly - Item number,Normal operation,Metal Working Machine,rearing trolley,1.3 Transport and mobile work equipment,NO,YES,DRX,Male,Bruise,Hand,12,Work related accident
Nose injury,Electric,ElJem,2021-05-19,Logistics,Logistics,Normal operation,,,1.2 Parts with dangerous surfaces,NO,YES,DRX,Male,Bruise,Nose,12,Work related accident
shoulder injury,Electric,ElJem,2021-05-28,IR,E-Assembly - Item number,Normal operation,Tools / Utilities,cart,1.2 Parts with dangerous surfaces,NO,YES,DRX,Male,Bruise,Body,3,Work related accident
eye injury,Electric,ElJem,2021-06-17,IR,E-Assembly - Item number,Normal operation,,,9.2 Manual work requiring a low level of physical strength,YES,YES,DRX,Female,Bruise,Eye,3,Work related accident
hand injury,Electric,ElJem,2021-07-07,IR,E-Assembly - Item number,Normal operation,,,1.2 Parts with dangerous surfaces,YES,YES,DRX,Female,Bruise,Hand,3,Work related accident
back injury,Electric,ElJem,2021-07-13,IR,E-Assembly - Item number,Normal operation,,,9.3 Forced posture,YES,YES,DRX,Female,Bruise,Body,17,Work related accident
